study,Reference,Case,Location ,Location2,coordinate 1,coordinate 2,Region,Climate,Mean annual precipitation (mm),MAP (2001-2009),NDVI aster,NDVI,Soilwet,part of the gradient,gradient 2,Study type,Performance estimator,Performance estimator2,SGH test?,Study mechanism?,suggested mechanism,Neighbor life-form1,Neighbor life-form2,Neighbor life-form3,Neighbor species,Target life-form1,Target life-form2,Target life-form3,Target life-form4,Target species,Target ontogenetic phase1,Target ontogenetic phase2,Balance interaction,OBS,Main Hypothesis or Question,data usable for Meta?,ask the authors?,DATA META,MEANc,MEANe,SDc,SDe,Nc,Ne,SEc,SEe
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.11,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,abundancy (cover),abundance,,,,shrub,shrub ,wood,Lupinus chamissonis,herb (exotic grass),herb,herb,non-wood,Vulpia bromoides,all? (less seeds),several,negative,,,"No, pseudoreplica, dicou apenas density",NA,NO,39.60,1.80,33.31,5.73,24,24,6.80,1.17
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.12,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,abundancy (cover),abundance,,,,shrub,shrub ,wood,Ericameria ericoides,herb (exotic grass),herb,herb,non-wood,Vulpia bromoides,all? (less seeds),several,negative,,,"No, pseudoreplica, dicou apenas density",NA,NO,39.60,8.67,33.31,8.48,24,24,6.80,1.73
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.13,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,abundancy (cover),abundance,,,,shrub,shrub ,wood,Lupinus chamissonis,moss,moss,moss,non-wood,"Syntrichia ruralis, Didymodon vinealis, Homalothecium arenarium",all?,several,neutral,,,YES,NA,YES,15.3,2.06,16.43,2.96,30,16,3,0.74
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.14,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,abundancy (cover),abundance,,,,shrub,shrub ,wood,Ericameria ericoides,moss,moss,moss,non-wood,"Syntrichia ruralis, Didymodon vinealis, Homalothecium arenarium",all?,several,positive,,,YES,NA,YES,15.30,35.30,16.43,16.16,30,29,3,3.00
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.15,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,richness,richness,,,,shrub,shrub ,wood,Lupinus chamissonis,grasses,grass,herb,non-wood,all,all? (less seeds),several,neutral,2000,,YES,NA,YES,2.02,2,0.60,0.75,14,14,0.16,0.2
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.16,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,richness,richness,,,,shrub,shrub ,wood,Ericameria ericoides,grasses,grass,herb,non-wood,all,all? (less seeds),several,neutral,2000,,YES,NA,YES,2.02,1.95,0.60,0.45,14,14,0.16,0.12
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.17,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,richness,richness,,,,shrub,shrub ,wood,Lupinus chamissonis,forbs,forb,herb,non-wood,all,all? (less seeds),several,neutral,2000,,YES,NA,YES,4.52,3.56,1.68,2.17,14,14,0.45,0.58
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.18,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,richness,richness,,,,shrub,shrub ,wood,Ericameria ericoides,forbs,forb,herb,non-wood,all,all? (less seeds),several,negative,2000,,YES,NA,YES,4.52,2.74,1.68,1.50,14,14,0.45,0.4
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.19,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,biomass (aboveground),growth,,,,shrub,shrub ,wood,Lupinus chamissonis,grasses,grass,herb,non-wood,all,all? (less seeds),several,neutral,2000,,YES,NA,YES,1.81,3.1,1.05,2.99,14,14,0.28,0.8
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.20,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,biomass (aboveground),growth,,,,shrub,shrub ,wood,Ericameria ericoides,grasses,grass,herb,non-wood,all,all? (less seeds),several,neutral,2000,,YES,NA,YES,1.81,2.66,1.05,2.47,14,14,0.28,0.66
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.21,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,biomass (aboveground),growth,,,,shrub,shrub ,wood,Lupinus chamissonis,forbs,forb,herb,non-wood,all,all? (less seeds),several,negative,2000,,YES,NA,YES,8.08,5,7.93,4.53,14,14,2.12,1.21
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.22,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,biomass (aboveground),growth,,,,shrub,shrub ,wood,Ericameria ericoides,forbs,forb,herb,non-wood,all,all? (less seeds),several,negative,2000,,YES,NA,YES,8.08,3.9,7.93,5.84,14,14,2.12,1.56
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.23,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,richness,richness,,,,shrub,shrub ,wood,Lupinus chamissonis,grasses,grass,herb,non-wood,all,all? (less seeds),several,neutral,1998,,"No, pseudoreplica, just the last year",NA,NO,2.5,2.4,0.82,0.82,17,17,0.2,0.2
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.24,"California, USA ",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,richness,richness,,,,shrub,shrub ,wood,Ericameria ericoides,grasses,grass,herb,non-wood,all,all? (less seeds),several,neutral,1998,,"No, pseudoreplica, just the last year",NA,NO,2.5,2.6,0.82,0.41,17,17,0.2,0.1
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.25,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,richness,richness,,,,shrub,shrub ,wood,Lupinus chamissonis,forbs,forb,herb,non-wood,all,all? (less seeds),several,negative,1998,,"No, pseudoreplica, just the last year",NA,NO,11,8.5,4.12,2.47,17,17,1,0.6
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.26,"California, USA ",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,richness,richness,,,,shrub,shrub ,wood,Ericameria ericoides,forbs,forb,herb,non-wood,all,all? (less seeds),several,negative,1998,,"No, pseudoreplica, just the last year",NA,NO,11,7.5,4.12,1.65,17,17,1,0.4
6,"Forey E, Touzard B, Michalet R, 2010",6.33,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,foredune,1,experimental,biomass (total),growth,,,,grass,herb,non-wood,Elymus farctus (dominant in the patch),grass,grass,herb,non-wood,Elymus farctus,"""young""",young,neutral,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,0.57,1.17801936648315,0.81,0.99,15,14,0.21,0.265552244772724
6,"Forey E, Touzard B, Michalet R, 2010",6.34,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,foredune,1,experimental,biomass (total),growth,,,,grass,herb,non-wood,Elymus farctus (dominant in the patch),grass,grass,herb,non-wood,Ammophila arenaria,"""young""",young,neutral,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,-0.61,0.998303809276516,0.82,0.39,4,3,0.41,0.225576536549244
6,"Forey E, Touzard B, Michalet R, 2010",6.35,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,foredune,1,experimental,biomass (total),growth,,,,grass,herb,non-wood,Elymus farctus (dominant in the patch),forb,forb,herb,non-wood,Helichrysum stoechas,"""young""",young,neutral,,,NO not available N,YES,NO,,,,,,,,
6,"Forey E, Touzard B, Michalet R, 2010",6.36,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,foredune,1,experimental,biomass (total),growth,,,,grass,herb,non-wood,Elymus farctus (dominant in the patch),grass,grass,herb,non-wood,Corynephorus canescens,"""young""",young,neutral,,,NO not available N,YES,NO,,,,,,,,
6,"Forey E, Touzard B, Michalet R, 2010",6.37,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,whitedune,2,experimental,biomass (total),growth,,,,grass,herb,non-wood,Ammophila arenaria,grass,grass,herb,non-wood,Elymus farctus,"""young""",young,positive,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,-0.12,1.05,0.77,0.66,7,15,0.29,0.170770317869362
6,"Forey E, Touzard B, Michalet R, 2010",6.38,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,whitedune,2,experimental,biomass (total),growth,,,,grass,herb,non-wood,Ammophila arenaria,grass,grass,herb,non-wood,Ammophila arenaria,"""young""",young,neutral,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,-1.13,0.38,0.75,0.34,9,12,0.25,0.0994296684938087
6,"Forey E, Touzard B, Michalet R, 2010",6.39000000000001,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,whitedune,2,experimental,biomass (total),growth,,,,grass,herb,non-wood,Ammophila arenaria,forb,forb,herb,non-wood,Helichrysum stoechas,"""young""",young,positive,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,1.65,1.70,1.74,0.40,5,7,0.78,0.152303317354617
6,"Forey E, Touzard B, Michalet R, 2010",6.40,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,whitedune,2,experimental,biomass (total),growth,,,,grass,herb,non-wood,Ammophila arenaria,grass,grass,herb,non-wood,Corynephorus canescens,"""young""",young,neutral,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,1.5,1.01,1.94,0.58,3,5,1.12,0.260997067448681
6,"Forey E, Touzard B, Michalet R, 2010",6.41000000000001,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,transition dune,2,experimental,biomass (total),growth,,,,forb,herb,non-wood,Helichrysum stoechas,grass,grass,herb,non-wood,Elymus farctus,"""young""",young,neutral,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,0.57,0.67,1.29,0.56,9,13,0.43,0.154120773612606
6,"Forey E, Touzard B, Michalet R, 2010",6.42,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,transition dune,2,experimental,biomass (total),growth,,,,forb,herb,non-wood,Helichrysum stoechas,grass,grass,herb,non-wood,Ammophila arenaria,"""young""",young,neutral,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,-1.38,0.32,0.76,0.34,8,8,0.27,0.121346187801975
6,"Forey E, Touzard B, Michalet R, 2010",6.43000000000001,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,transition dune,2,experimental,biomass (total),growth,,,,forb,herb,non-wood,Helichrysum stoechas,forb,forb,herb,non-wood,Helichrysum stoechas,"""young""",young,neutral,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,0.39,0.71,1.36,1.08,15,10,0.35,0.341382601118156
6,"Forey E, Touzard B, Michalet R, 2010",6.44,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,transition dune,2,experimental,biomass (total),growth,,,,forb,herb,non-wood,Helichrysum stoechas,grass,grass,herb,non-wood,Corynephorus canescens,"""young""",young,neutral,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,0.97,1.31,0.97,2.08,14,12,0.26,0.599391636842747
6,"Forey E, Touzard B, Michalet R, 2010",6.45000000000001,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,grey dune,2,experimental,biomass (total),growth,,,,grass,herb,non-wood,Corynephorus canescens,grass,grass,herb,non-wood,Elymus farctus,"""young""",young,positive,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,0.82,1.59,0.79,3.45,8,13,0.28,0.958139935305819
6,"Forey E, Touzard B, Michalet R, 2010",6.46,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,grey dune,2,experimental,biomass (total),growth,,,,grass,herb,non-wood,Corynephorus canescens,grass,grass,herb,non-wood,Ammophila arenaria,"""young""",young,positive,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,-1.04,0.55,0.62,0.30,12,10,0.18,0.095930558073948
6,"Forey E, Touzard B, Michalet R, 2010",6.47000000000001,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,grey dune,2,experimental,biomass (total),growth,,,,grass,herb,non-wood,Corynephorus canescens,forb,forb,herb,non-wood,Helichrysum stoechas,"""young""",young,neutral,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,1.39,0.98,1.58,1.17,10,9,0.5,0.390819279563058
6,"Forey E, Touzard B, Michalet R, 2010",6.48,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,grey dune,2,experimental,biomass (total),growth,,,,grass,herb,non-wood,Corynephorus canescens,grass,grass,herb,non-wood,Corynephorus canescens,"""young""",young,positive,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,1.46,1.47,1.36,2.86,15,14,0.35,0.764531237599258
10,"Forey E, Lortie CJ, Michalet R, 2009",10.01,"Aquitaine, France (north)",,45°26'N,01°08'W,temperate,temperate oceanic,750 (north),749,0.304,7.6,6102,foredune?,1,pattern,abundancy (density),abundance,partially supported,no,NA,grass,herb,non-wood,Elymus farctus,all (understory),several,several,several,all,all? (less seeds),several,positive,,"1) if there is positive association between dominnat and understory plants,2)SGH, 3)if the size of dominant species modify the degree of understory association, and 4)if the associational pattrens observed at neighborhood scale predict diversity at local and regional scales",YES,NA,YES,0.55,3.16,1.41,4.19,32,32,0.25,0.74
10,"Forey E, Lortie CJ, Michalet R, 2009",10.02,"Aquitaine, France (north)",,,,temperate,temperate oceanic,750 (north),749,0.304,7.6,6102,foredune?,1,pattern,abundancy (cover),abundance,,,,grass,herb,non-wood,Elymus farctus,all (understory),several,several,several,all,all? (less seeds),several,neutral,,,"No, pseudoreplica pois há density and cover, dicou apenas density",NA,NO,2.29,6.11,4.86,7.52,32,32,0.86,1.33
10,"Forey E, Lortie CJ, Michalet R, 2009",10.03,"Aquitaine, France (north)",,,,temperate,temperate oceanic,750 (north),749,0.304,7.6,6102,foredune?,1,pattern,richness,richness,,,,grass,herb,non-wood,Elymus farctus,all (understory),several,several,several,all,all? (less seeds),several,positive,,,YES,NA,YES,0.35,0.99,0.74,0.91,32,32,0.13,0.16
10,"Forey E, Lortie CJ, Michalet R, 2009",10.04,"Aquitaine, France (centre)",,44°44'N,01°14'W,temperate,temperate oceanic,1000 (centre),772,0.216,7.7,5353,foredune?,1,pattern,abundancy (density),abundance,,,,grass,herb,non-wood,Elymus farctus,all (understory),several,several,several,all,all? (less seeds),several,neutral,,,YES,NA,YES,1.19,2.5,2.60,3.73,32,32,0.46,0.66
10,"Forey E, Lortie CJ, Michalet R, 2009",10.05,"Aquitaine, France (centre)",,,,temperate,temperate oceanic,1000 (centre),772,0.216,7.7,5353,foredune?,1,pattern,abundancy (cover),abundance,,,,grass,herb,non-wood,Elymus farctus,all (understory),several,several,several,all,all? (less seeds),several,positive,,,"No, pseudoreplica pois há density and cover, dicou apenas density",NA,NO,1.62,7.54,3.22,9.73,32,32,0.57,1.72
10,"Forey E, Lortie CJ, Michalet R, 2009",10.06,"Aquitaine, France (centre)",,,,temperate,temperate oceanic,1000 (centre),772,0.216,7.7,5353,foredune?,1,pattern,richness,richness,,,,grass,herb,non-wood,Elymus farctus,all (understory),several,several,several,all,all? (less seeds),several,positive,,,YES,NA,YES,0.48,0.77,0.68,0.74,32,32,0.12,0.13
10,"Forey E, Lortie CJ, Michalet R, 2009",10.07,"Aquitaine, France (south)",,43°32N,01°30'W,temperate,temperate oceanic,1200 (south),699,,6.5,6460,foredune?,1,pattern,abundancy (density),abundance,,,,grass,herb,non-wood,Elymus farctus,all (understory),several,several,several,all,all? (less seeds),several,neutral,,,YES,NA,YES,6.38,6.1,7.75,8.37,32,32,1.37,1.48
10,"Forey E, Lortie CJ, Michalet R, 2009",10.08,"Aquitaine, France (south)",,,,temperate,temperate oceanic,1200 (south),699,,6.5,6460,foredune?,1,pattern,abundancy (cover),abundance,,,,grass,herb,non-wood,Elymus farctus,all (understory),several,several,several,all,all? (less seeds),several,neutral,,,"No, pseudoreplica pois há density and cover, dicou apenas density",NA,NO,8.3,9.54,13.01,11.09,32,32,2.3,1.96
10,"Forey E, Lortie CJ, Michalet R, 2009",10.09,"Aquitaine, France (south)",,,,temperate,temperate oceanic,1200 (south),699,,6.5,6460,foredune?,1,pattern,richness,richness,,,,grass,herb,non-wood,Elymus farctus,all (understory),several,several,several,all,all? (less seeds),several,neutral,,,YES,NA,YES,1.24,1.54,0.96,1.19,32,32,0.17,0.21
10,"Forey E, Lortie CJ, Michalet R, 2009",10.10,"Aquitaine, France (north)",,,,temperate,temperate oceanic,750 (north),749,0.304,7.6,6102,whitedune?,2,pattern,abundancy (density),abundance,,,,grass,herb,non-wood,Ammophila arenaria,all (understory),several,several,several,all,all? (less seeds),several,neutral,,,YES,NA,YES,15.2,16.2,16.40,24.89,32,32,2.9,4.4
10,"Forey E, Lortie CJ, Michalet R, 2009",10.11,"Aquitaine, France (north)",,,,temperate,temperate oceanic,750 (north),749,0.304,7.6,6102,whitedune?,2,pattern,abundancy (cover),abundance,,,,grass,herb,non-wood,Ammophila arenaria,all (understory),several,several,several,all,all? (less seeds),several,neutral,,,"No, pseudoreplica pois há density and cover, dicou apenas density",NA,NO,17.2,18.2,14.71,19.80,32,32,2.6,3.5
10,"Forey E, Lortie CJ, Michalet R, 2009",10.12,"Aquitaine, France (north)",,,,temperate,temperate oceanic,750 (north),749,0.304,7.6,6102,whitedune?,2,pattern,richness,richness,,,,grass,herb,non-wood,Ammophila arenaria,all (understory),several,several,several,all,all? (less seeds),several,neutral,,,YES,NA,YES,2.15,2.08,1.75,1.47,32,32,0.31,0.26
10,"Forey E, Lortie CJ, Michalet R, 2009",10.13,"Aquitaine, France (centre)",,,,temperate,temperate oceanic,1000 (centre),772,0.216,7.7,5353,whitedune?,2,pattern,abundancy (density),abundance,,,,grass,herb,non-wood,Ammophila arenaria,all (understory),several,several,several,all,all? (less seeds),several,positive,,,YES,NA,YES,10.3,17.7,13.58,14.14,32,32,2.4,2.5
10,"Forey E, Lortie CJ, Michalet R, 2009",10.14,"Aquitaine, France (centre)",,,,temperate,temperate oceanic,1000 (centre),772,0.216,7.7,5353,whitedune?,2,pattern,abundancy (cover),abundance,,,,grass,herb,non-wood,Ammophila arenaria,all (understory),several,several,several,all,all? (less seeds),several,positive,,,"No, pseudoreplica pois há density and cover, dicou apenas density",NA,NO,9.69,8.36,22.68,6.56,32,32,4.01,1.16
10,"Forey E, Lortie CJ, Michalet R, 2009",10.15,"Aquitaine, France (centre)",,,,temperate,temperate oceanic,1000 (centre),772,0.216,7.7,5353,whitedune?,2,pattern,richness,richness,,,,grass,herb,non-wood,Ammophila arenaria,all (understory),several,several,several,all,all? (less seeds),several,neutral,,,YES,NA,NO,1.46,2.35,1.24,0.91,32,32,0.22,0.16
10,"Forey E, Lortie CJ, Michalet R, 2009",10.16,"Aquitaine, France (south)",,,,temperate,temperate oceanic,1200 (south),699,,6.5,6460,whitedune?,2,pattern,abundancy (density),abundance,,,,grass,herb,non-wood,Ammophila arenaria,all (understory),several,several,several,all,all? (less seeds),several,neutral,,,YES,NA,YES,22.3,25.3,12.45,16.97,32,32,2.2,3
10,"Forey E, Lortie CJ, Michalet R, 2009",10.17,"Aquitaine, France (south)",,,,temperate,temperate oceanic,1200 (south),699,,6.5,6460,whitedune?,2,pattern,abundancy (cover),abundance,,,,grass,herb,non-wood,Ammophila arenaria,all (understory),several,several,several,all,all? (less seeds),several,neutral,,,"No, pseudoreplica pois há density and cover, dicou apenas density",NA,NO,20.2,16.6,14.71,9.05,32,32,2.6,1.6
10,"Forey E, Lortie CJ, Michalet R, 2009",10.18,"Aquitaine, France (south)",,,,temperate,temperate oceanic,1200 (south),699,,6.5,6460,whitedune?,2,pattern,richness,richness,,,,grass,herb,non-wood,Ammophila arenaria,all (understory),several,several,several,all,all? (less seeds),several,neutral,,,"No, pseudoreplica pois há density and cover, dicou apenas density",NA,YES,4.69,5.17,1.41,1.75,32,32,0.25,0.31
10,"Forey E, Lortie CJ, Michalet R, 2009",10.19,"Aquitaine, France (north)",,,,temperate,temperate oceanic,750 (north),749,0.304,7.6,6102,greydune?,2,pattern,abundancy (density),abundance,,,,forb,herb,non-wood,Helichrysum stoechas,all (understory),several,several,several,all,all? (less seeds),several,neutral,,,YES,NA,YES,62.3,71.4,40.16,33.38,32,32,7.10000000000001,5.89999999999999
10,"Forey E, Lortie CJ, Michalet R, 2009",10.20,"Aquitaine, France (north)",,,,temperate,temperate oceanic,750 (north),749,0.304,7.6,6102,greydune?,2,pattern,abundancy (cover),abundance,,,,forb,herb,non-wood,Helichrysum stoechas,all (understory),several,several,several,all,all? (less seeds),several,neutral,,,"No, pseudoreplica pois há density and cover, dicou apenas density",NA,NO,14.5,16.6,9.05,8.49,32,32,1.6,1.5
10,"Forey E, Lortie CJ, Michalet R, 2009",10.21,"Aquitaine, France (north)",,,,temperate,temperate oceanic,750 (north),749,0.304,7.6,6102,greydune?,2,pattern,richness,richness,,,,forb,herb,non-wood,Helichrysum stoechas,all (understory),several,several,several,all,all? (less seeds),several,neutral,,,"No, pseudoreplica pois há density and cover, dicou apenas density",NA,YES,6.93,7.04,1.92,1.75,32,32,0.34,0.31
10,"Forey E, Lortie CJ, Michalet R, 2009",10.22,"Aquitaine, France (centre)",,,,temperate,temperate oceanic,1000 (centre),772,0.216,7.7,5353,greydune?,2,pattern,abundancy (density),abundance,,,,forb,herb,non-wood,Helichrysum stoechas,all (understory),several,several,several,all,all? (less seeds),several,positive,,,YES,NA,YES,39.7,55.8,22.06,24.32,32,32,3.9,4.3
10,"Forey E, Lortie CJ, Michalet R, 2009",10.23,"Aquitaine, France (centre)",,,,temperate,temperate oceanic,1000 (centre),772,0.216,7.7,5353,greydune?,2,pattern,abundancy (cover),abundance,,,,forb,herb,non-wood,Helichrysum stoechas,all (understory),several,several,several,all,all? (less seeds),several,neutral,,,"No, pseudoreplica pois há density and cover, dicou apenas density",NA,NO,7.01,8.85,6.11,8.20,32,32,1.08,1.45
10,"Forey E, Lortie CJ, Michalet R, 2009",10.24,"Aquitaine, France (centre)",,,,temperate,temperate oceanic,1000 (centre),772,0.216,7.7,5353,greydune?,2,pattern,richness,richness,,,,forb,herb,non-wood,Helichrysum stoechas,all (understory),several,several,several,all,all? (less seeds),several,positive,,,YES,NA,YES,3.66,4.42,1.47,1.47,32,32,0.26,0.26
