study,Reference,Case,Location ,Location 2,coordinate 1,coordinate 2,Region,Climate,Mean annual precipitation (mm),MAP (2001-2009),NDVI aster,NDVI,Soilwet,part of the gradient,gradient 2,Study type,Performance estimator,Performance estimator2,SGH test?,Study mechanism?,suggested mechanism,Neighbor life-form,Neighbor life-form2,Neighbor life-form3,Neighbor life-form4,Neighbor species,Target life-form1,Target life-form2,Target life-form3,Target species,Target ontogenetic phase2,Target ontogenetic phase,Balance interaction,OBS,Main Hypothesis or Question,data usable fo Meta?,ask the authors?,META DATA,survival with neighbor,survival control,dead with neighbor,dead control,,MEANc,MEANe,SDc,SDe,Nc,Ne,SEc,SEe
6,"Forey E, Touzard B, Michalet R, 2010",6.03,France,,,,temperate,temperate oceanic,875 (dry year),772,0.216,7.7,5353,foredune,1,experimental,survival,survival,,,,grass,grass,herb,,Elymus farctus (dominant in the patch),forb,herb,non-wood,Helichrysum stoechas,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor. Mas além disso é um pseudoreplica pois são dosi anos. Ficou apenas o segundo",YES,NO,,,,,,,,,,,,,
6,"Forey E, Touzard B, Michalet R, 2010",6.04,France,,,,temperate,temperate oceanic,875 (dry year),772,0.216,7.7,5353,foredune,1,experimental,survival,survival,,,,grass,grass,herb,,Elymus farctus (dominant in the patch),grass,herb,non-wood,Corynephorus canescens,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor. Mas além disso é um pseudoreplica pois são dosi anos. Ficou apenas o segundo",YES,NO,,,,,,,,,,,,,
6,"Forey E, Touzard B, Michalet R, 2010",6.05,France,,,,temperate,temperate oceanic,875 (dry year),772,0.216,7.7,5353,whitedune,2,experimental,survival,survival,,,,grass,grass,herb,,Ammophila arenaria,grass,herb,non-wood,Elymus farctus,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor. Mas além disso é um pseudoreplica pois são dosi anos. Ficou apenas o segundo",YES,NO,,,,,,,,,,,,,
6,"Forey E, Touzard B, Michalet R, 2010",6.06,France,,,,temperate,temperate oceanic,875 (dry year),772,0.216,7.7,5353,whitedune,2,experimental,survival,survival,,,,grass,grass,herb,,Ammophila arenaria,grass,herb,non-wood,Ammophila arenaria,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor. Mas além disso é um pseudoreplica pois são dosi anos. Ficou apenas o segundo",YES,NO,,,,,,,,,,,,,
6,"Forey E, Touzard B, Michalet R, 2010",6.07,France,,,,temperate,temperate oceanic,875 (dry year),772,0.216,7.7,5353,whitedune,2,experimental,survival,survival,,,,grass,grass,herb,,Ammophila arenaria,forb,herb,non-wood,Helichrysum stoechas,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor. Mas além disso é um pseudoreplica pois são dosi anos. Ficou apenas o segundo",YES,NO,,,,,,,,,,,,,
6,"Forey E, Touzard B, Michalet R, 2010",6.08,France,,,,temperate,temperate oceanic,875 (dry year),772,0.216,7.7,5353,whitedune,2,experimental,survival,survival,,,,grass,grass,herb,,Ammophila arenaria,grass,herb,non-wood,Corynephorus canescens,"""young""",young,negative,,,"NO, they din't provide survival with neighbor. Mas além disso é um pseudoreplica pois são dosi anos. Ficou apenas o segundo",YES,NO,,,,,,,,,,,,,
6,"Forey E, Touzard B, Michalet R, 2010",6.09,France,,,,temperate,temperate oceanic,875 (dry year),772,0.216,7.7,5353,transition dune,2,experimental,survival,survival,,,,forb,forb,herb,,Helichrysum stoechas,grass,herb,non-wood,Elymus farctus,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor. Mas além disso é um pseudoreplica pois são dosi anos. Ficou apenas o segundo",YES,NO,,,,,,,,,,,,,
6,"Forey E, Touzard B, Michalet R, 2010",6.10,France,,,,temperate,temperate oceanic,875 (dry year),772,0.216,7.7,5353,transition dune,2,experimental,survival,survival,,,,forb,forb,herb,,Helichrysum stoechas,grass,herb,non-wood,Ammophila arenaria,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor. Mas além disso é um pseudoreplica pois são dosi anos. Ficou apenas o segundo",YES,NO,,,,,,,,,,,,,
6,"Forey E, Touzard B, Michalet R, 2010",6.11,France,,,,temperate,temperate oceanic,875 (dry year),772,0.216,7.7,5353,transition dune,2,experimental,survival,survival,,,,forb,forb,herb,,Helichrysum stoechas,forb,herb,non-wood,Helichrysum stoechas,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor. Mas além disso é um pseudoreplica pois são dosi anos. Ficou apenas o segundo",YES,NO,,,,,,,,,,,,,
6,"Forey E, Touzard B, Michalet R, 2010",6.12,France,,,,temperate,temperate oceanic,875 (dry year),772,0.216,7.7,5353,transition dune,2,experimental,survival,survival,,,,forb,forb,herb,,Helichrysum stoechas,grass,herb,non-wood,Corynephorus canescens,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor. Mas além disso é um pseudoreplica pois são dosi anos. Ficou apenas o segundo",YES,NO,,,,,,,,,,,,,
6,"Forey E, Touzard B, Michalet R, 2010",6.13,France,,,,temperate,temperate oceanic,875 (dry year),772,0.216,7.7,5353,grey dune,2,experimental,survival,survival,,,,grass,grass,herb,,Corynephorus canescens,grass,herb,non-wood,Elymus farctus,"""young""",young,positive,,,"NO, they din't provide survival with neighbor. Mas além disso é um pseudoreplica pois são dosi anos. Ficou apenas o segundo",YES,NO,,,,,,,,,,,,,
6,"Forey E, Touzard B, Michalet R, 2010",6.14,France,,,,temperate,temperate oceanic,875 (dry year),772,0.216,7.7,5353,grey dune,2,experimental,survival,survival,,,,grass,grass,herb,,Corynephorus canescens,grass,herb,non-wood,Ammophila arenaria,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor. Mas além disso é um pseudoreplica pois são dosi anos. Ficou apenas o segundo",YES,NO,,,,,,,,,,,,,
6,"Forey E, Touzard B, Michalet R, 2010",6.15,France,,,,temperate,temperate oceanic,875 (dry year),772,0.216,7.7,5353,grey dune,2,experimental,survival,survival,,,,grass,grass,herb,,Corynephorus canescens,forb,herb,non-wood,Helichrysum stoechas,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor. Mas além disso é um pseudoreplica pois são dosi anos. Ficou apenas o segundo",YES,NO,,,,,,,,,,,,,
6,"Forey E, Touzard B, Michalet R, 2010",6.16,France,,,,temperate,temperate oceanic,875 (dry year),772,0.216,7.7,5353,grey dune,2,experimental,survival,survival,,,,grass,grass,herb,,Corynephorus canescens,grass,herb,non-wood,Corynephorus canescens,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor. Mas além disso é um pseudoreplica pois são dosi anos. Ficou apenas o segundo",YES,NO,,,,,,,,,,,,,
6,"Forey E, Touzard B, Michalet R, 2010",6.17,France,,,,temperate,temperate oceanic,875 (average year),772,0.216,7.7,5353,foredune,1,experimental,survival,survival,,,,grass,grass,herb,,Elymus farctus (dominant in the patch),grass,herb,non-wood,Elymus farctus,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor",YES,YES,,,,,,83.1,75.0,35.3,28.0,6,6,14.4,11.4
6,"Forey E, Touzard B, Michalet R, 2010",6.18,France,,,,temperate,temperate oceanic,875 (average year),772,0.216,7.7,5353,foredune,1,experimental,survival,survival,,,,grass,grass,herb,,Elymus farctus (dominant in the patch),grass,herb,non-wood,Ammophila arenaria,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor",YES,YES,,,,,,24.5,16.7,34.5,35.4,6,6,14.1,14.4
6,"Forey E, Touzard B, Michalet R, 2010",6.19,France,,,,temperate,temperate oceanic,875 (average year),772,0.216,7.7,5353,foredune,1,experimental,survival,survival,,,,grass,grass,herb,,Elymus farctus (dominant in the patch),forb,herb,non-wood,Helichrysum stoechas,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor",YES,YES,,,,,,0,0.0,0.0,0.0,6,6,0,0.0
6,"Forey E, Touzard B, Michalet R, 2010",6.20,France,,,,temperate,temperate oceanic,875 (average year),772,0.216,7.7,5353,foredune,1,experimental,survival,survival,,,,grass,grass,herb,,Elymus farctus (dominant in the patch),grass,herb,non-wood,Corynephorus canescens,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor",YES,YES,,,,,,0,0.0,0.0,0.0,6,6,0,0.0
6,"Forey E, Touzard B, Michalet R, 2010",6.21,France,,,,temperate,temperate oceanic,875 (average year),772,0.216,7.7,5353,whitedune,2,experimental,survival,survival,,,,grass,grass,herb,,Ammophila arenaria,grass,herb,non-wood,Elymus farctus,"""young""",young,positive,,,"NO, they din't provide survival with neighbor",YES,YES,,,,,,41.3,80.6,21.6,26.2,6,6,8.8,10.7
6,"Forey E, Touzard B, Michalet R, 2010",6.22,France,,,,temperate,temperate oceanic,875 (average year),772,0.216,7.7,5353,whitedune,2,experimental,survival,survival,,,,grass,grass,herb,,Ammophila arenaria,grass,herb,non-wood,Ammophila arenaria,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor",YES,YES,,,,,,51.3,63.9,33.8,20.2,6,6,13.8,8.3
6,"Forey E, Touzard B, Michalet R, 2010",6.23,France,,,,temperate,temperate oceanic,875 (average year),772,0.216,7.7,5353,whitedune,2,experimental,survival,survival,,,,grass,grass,herb,,Ammophila arenaria,forb,herb,non-wood,Helichrysum stoechas,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor",YES,YES,,,,,,26.7,38.9,31.6,44.8,6,6,12.9,18.3
6,"Forey E, Touzard B, Michalet R, 2010",6.24,France,,,,temperate,temperate oceanic,875 (average year),772,0.216,7.7,5353,whitedune,2,experimental,survival,survival,,,,grass,grass,herb,,Ammophila arenaria,grass,herb,non-wood,Corynephorus canescens,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor",YES,YES,,,,,,16.4,27.8,24.5,22.9,6,6,10,9.4
6,"Forey E, Touzard B, Michalet R, 2010",6.25,France,,,,temperate,temperate oceanic,875 (average year),772,0.216,7.7,5353,transition dune,2,experimental,survival,survival,,,,forb,forb,herb,,Helichrysum stoechas,grass,herb,non-wood,Elymus farctus,"""young""",young,positive,,,"NO, they din't provide survival with neighbor",YES,YES,,,,,,49.6,72.2,32.6,29.7,6,6,13.3,12.1
6,"Forey E, Touzard B, Michalet R, 2010",6.26,France,,,,temperate,temperate oceanic,875 (average year),772,0.216,7.7,5353,transition dune,2,experimental,survival,survival,,,,forb,forb,herb,,Helichrysum stoechas,grass,herb,non-wood,Ammophila arenaria,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor",YES,YES,,,,,,43.9,44.4,30.6,31.4,6,6,12.5,12.8
6,"Forey E, Touzard B, Michalet R, 2010",6.27,France,,,,temperate,temperate oceanic,875 (average year),772,0.216,7.7,5353,transition dune,2,experimental,survival,survival,,,,forb,forb,herb,,Helichrysum stoechas,forb,herb,non-wood,Helichrysum stoechas,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor",YES,YES,,,,,,83.2,55.6,24.7,36.9,6,6,10.1,15.0
6,"Forey E, Touzard B, Michalet R, 2010",6.28,France,,,,temperate,temperate oceanic,875 (average year),772,0.216,7.7,5353,transition dune,2,experimental,survival,survival,,,,forb,forb,herb,,Helichrysum stoechas,grass,herb,non-wood,Corynephorus canescens,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor",YES,YES,,,,,,77.4,66.7,15.7,19.2,6,6,6.39999999999999,7.9
6,"Forey E, Touzard B, Michalet R, 2010",6.29,France,,,,temperate,temperate oceanic,875 (average year),772,0.216,7.7,5353,grey dune,2,experimental,survival,survival,,,,grass,grass,herb,,Corynephorus canescens,grass,herb,non-wood,Elymus farctus,"""young""",young,positive,,,"NO, they din't provide survival with neighbor",YES,YES,,,,,,44,72.2,30.4,31.4,6,6,12.4,12.8
6,"Forey E, Touzard B, Michalet R, 2010",6.30,France,,,,temperate,temperate oceanic,875 (average year),772,0.216,7.7,5353,grey dune,2,experimental,survival,survival,,,,grass,grass,herb,,Corynephorus canescens,grass,herb,non-wood,Ammophila arenaria,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor",YES,YES,,,,,,65.9,55.6,34.8,31.4,6,6,14.2,12.8
6,"Forey E, Touzard B, Michalet R, 2010",6.31,France,,,,temperate,temperate oceanic,875 (average year),772,0.216,7.7,5353,grey dune,2,experimental,survival,survival,,,,grass,grass,herb,,Corynephorus canescens,forb,herb,non-wood,Helichrysum stoechas,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor",YES,YES,,,,,,54.8,50.0,24.7,31.9,6,6,10.1,13.0
6,"Forey E, Touzard B, Michalet R, 2010",6.32,France,,,,temperate,temperate oceanic,875 (average year),772,0.216,7.7,5353,grey dune,2,experimental,survival,survival,,,,grass,grass,herb,,Corynephorus canescens,grass,herb,non-wood,Corynephorus canescens,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor",YES,YES,,,,,,83.2,77.8,24.7,24.8,6,6,10.1,10.1
11,"Armas C, Pugnaire FI, 2009",11.01,"Almeria, Spain",,36°41'N,2°42'W,temperate,dry mediteranean,220,313,0.208,2.5,6820,top of stabilized dune (open shrub),2,experimental,survival,survival,no,somewhat,"reduce temp and increase humidity and modifiy soil properties (increase MO, nutrients and salt) but the intensity of each effect depends on neighbor identity",shrub,shrub,shrub,wood,Juniperus phoenicea subsp. turbinata,shrub,shrub,wood,Juniperus phoenicea subsp. turbinata,seedling (1 year old),young,positive,,1) how the interction between two dominant shrub species change during their life history 2) Does this interaction influence their population dynamics? 3)Posible facilitation mechanims,"NO, they didn't provide the exact N for each treatement",YES,YES,16,3,20,33,,,,,,,,,
11,"Armas C, Pugnaire FI, 2009",11.02,"Almeria, Spain",,,,temperate,dry mediteranean,220,313,0.208,2.5,6820,top of stabilized dune (open shrub),2,experimental,survival,survival,,,,shrub,shrub,shrub,wood,Juniperus phoenicea subsp. turbinata,shrub,shrub,wood,Pistacia lentiscus,seedling (1 year old),young,positive,,,"NO, they didn't provide the exact N for each treatement",YES,YES,14,2,6,18,,,,,,,,,
11,"Armas C, Pugnaire FI, 2009",11.03,"Almeria, Spain",,,,temperate,dry mediteranean,220,313,0.208,2.5,6820,top of stabilized dune (open shrub),2,experimental,survival,survival,,,,shrub,shrub,shrub,wood,Pistacia lentiscus,shrub,shrub,wood,Juniperus phoenicea subsp. turbinata,seedling (1 year old),young,positive,,,"NO, they didn't provide the exact N for each treatement",YES,YES,14,3,22,33,,,,,,,,,
11,"Armas C, Pugnaire FI, 2009",11.04,"Almeria, Spain",,,,temperate,dry mediteranean,220,313,0.208,2.5,6820,top of stabilized dune (open shrub),2,experimental,survival,survival,,,,shrub,shrub,shrub,wood,Pistacia lentiscus,shrub,shrub,wood,Pistacia lentiscus,seedling (1 year old),young,neutral,,,"NO, they didn't provide the exact N for each treatement",YES,YES,6,2,14,18,,,,,,,,,
11,"Armas C, Pugnaire FI, 2009",11.05,"Almeria, Spain",,,,temperate,dry mediteranean,220,313,0.208,2.5,6820,top of stabilized dune (open shrub),2,pattern,survival,survival,,,,shrubs (clump),shrub,shrub,wood,all,shrub,shrub,wood,Juniperus phoenicea subsp. turbinata,adult,adult,positive,,,YES,NA,YES,851,582,150,20,,,,,,,,,
11,"Armas C, Pugnaire FI, 2009",11.06,"Almeria, Spain",,,,temperate,dry mediteranean,220,313,0.208,2.5,6820,top of stabilized dune (open shrub),2,pattern,survival,survival,,,,shrubs (clump),shrub,shrub,wood,all,shrub,shrub,wood,Pistacia lentiscus,adult,adult,neutral,,,YES,NA,YES,558,84,14,2,,,,,,,,,
28,"Cheplick GP, 2005",28.01,"New York, USA",,"40°34'44""N","74°5'30""W",temperate,NA,NA,1874,,8.4,6719,beach pioneer zone,1,pattern,occurrence,occurrence,no,no,no,grass,grass,herb,non-wood,Ammophila breviligulata,grass,herb,non-wood,Triplasis purpurea,all? (less seeds),several,negative,,The primary objetive was to describe the relationship of the dominant grass abd seed rain of the co-occurring species in the annual plant community of a coastal beach.,YES,NA,YES,169,176,239,166,,,,,,,,,
28,"Cheplick GP, 2005",28.02,"New York, USA",,,,temperate,NA,NA,1874,,8.4,6719,beach pioneer zone,1,pattern,occurrence,occurrence,,,,grass,grass,herb,non-wood,Ammophila breviligulata,grass,herb,non-wood,Cenchrus tribuloides,all? (less seeds),several,negative,,,YES,NA,YES,137,144,271,198,,,,,,,,,
28,"Cheplick GP, 2005",28.03,"New York, USA",,,,temperate,NA,NA,1874,,8.4,6719,beach pioneer zone,1,pattern,occurrence,occurrence,,,,grass,grass,herb,non-wood,Ammophila breviligulata,forb,herb,non-wood,Heterotheca subaxillaris,all? (less seeds),several,positive,,,YES,NA,YES,42,19,366,323,,,,,,,,,
28,"Cheplick GP, 2005",28.04,"New York, USA",,,,temperate,NA,NA,1874,,8.4,6719,beach pioneer zone,1,pattern,occurrence,occurrence,,,,grass,grass,herb,non-wood,Ammophila breviligulata,herb,herb,non-wood,"Digitalia sanguinalis, Cahmaesyce polygonifolia, Mollugo verticillata, Cyperus spp., Artemisia vulgaris, Cakile edentula",all? (less seeds),several,negative,,,YES,NA,YES,142,147,266,195,,,,,,,,,
29,"Dias ATC, Zaluar HLT, Ganade G, et al., 2005",29.09,"Rio de Janeiro, Brazil",,,,tropical,NA,NA,NA,,NA,NA,open shrub,2,experimental,germination,emergence,,,,tree,tree,tree,wood,Clusia hilariana (patch with Clusia dominance),tree,tree,wood,Tapirira guianensis,seed ,seed,neutral,,,"NO, because it doesn't have a true control (without neighbor)",NO,NO,,,,,,,,,,,,,
29,"Dias ATC, Zaluar HLT, Ganade G, et al., 2005",29.10,"Rio de Janeiro, Brazil",,,,tropical,NA,NA,NA,,NA,NA,open shrub,2,experimental,survival,survival,,,,tree,tree,tree,wood,Clusia hilariana (patch with Clusia dominance),shrub,shrub,wood,Protium icicariba,seedling,young,neutral,,,"NO, because it doesn't have a true control (without neighbor)",NO,NO,,,,,,,,,,,,,
29,"Dias ATC, Zaluar HLT, Ganade G, et al., 2005",29.11,"Rio de Janeiro, Brazil",,,,tropical,NA,NA,NA,,NA,NA,open shrub,2,experimental,survival,survival,,,,tree,tree,tree,wood,Clusia hilariana (patch with Clusia dominance),shrub,shrub,wood,Erythroxylum ovalifolium,seedling,young,neutral,,,"NO, because it doesn't have a true control (without neighbor)",NO,NO,,,,,,,,,,,,,
29,"Dias ATC, Zaluar HLT, Ganade G, et al., 2005",29.12,"Rio de Janeiro, Brazil",,,,tropical,NA,NA,NA,,NA,NA,open shrub,2,experimental,survival,survival,,,,tree,tree,tree,wood,Clusia hilariana (patch with Clusia dominance),tree,tree,wood,Tapirira guianensis,seedling,young,neutral,,,"NO, because it doesn't have a true control (without neighbor)",NO,NO,,,,,,,,,,,,,
29,"Dias ATC, Zaluar HLT, Ganade G, et al., 2005",29.13,"Rio de Janeiro, Brazil",,,,tropical,NA,NA,NA,,NA,NA,open shrub,2,experimental,growth (height),survival,,,,tree,tree,tree,wood,Clusia hilariana (patch with Clusia dominance),shrub,shrub,wood,Protium icicariba,seedling,young,negative,,,"NO, because it doesn't have a true control (without neighbor)",NO,NO,,,,,,,,,,,,,
29,"Dias ATC, Zaluar HLT, Ganade G, et al., 2005",29.14,"Rio de Janeiro, Brazil",,,,tropical,NA,NA,NA,,NA,NA,open shrub,2,experimental,growth (height),survival,,,,tree,tree,tree,wood,Clusia hilariana (patch with Clusia dominance),shrub,shrub,wood,Erythroxylum ovalifolium,seedling,young,negative,,,"NO, because it doesn't have a true control (without neighbor)",NO,NO,,,,,,,,,,,,,
32,"Feagin RA, Wu XB, Smeins FE, et al., 2005",32.01,"Texas, USA",,"29°12'36""N","94°55'12""W",temperate,NA,NA,1455,,5.1,7198,primary dunes (beach pioneer),1,patterns (cellular automata model),occurrence,occurrence,no,no,NA,NA (colonizer),NA,NA,NA,NA (is a simulation),NA,NA,NA,NA (is a simulation),all,several,positive,,The objective was to determine which mechanisms creates sand dune plant patterns: individual responses to an environmental gradient  or community succession via facilitative interactions,"NO, there is not the treatments with and without neighbor",NO,NO,,,,,,,,,,,,,
32,"Feagin RA, Wu XB, Smeins FE, et al., 2005",32.02,"Texas, USA",,,,temperate,NA,NA,1455,,5.1,7198,primary dunes (beach pioneer),1,patterns (cellular automata model),occurrence,occurrence,,,,NA (soil binder),NA,NA,NA,NA (is a simulation),NA,NA,NA,NA (is a simulation),all,several,positive,,,"NO, there is not the treatments with and without neighbor",NO,NO,,,,,,,,,,,,,
33,"Martinez ML, Perez-Maqueo O, Vasquez VM, 2004",33.10,"Veracruz, Mexico",,,,tropical,NA,1260,657,0.151,6.7,5661,parabolic mobile dunes,2,experimental,survival,survival,,,,shrub,shrub,shrub,wood,Chamaecrista chamaecristoides var. chamaecristoides,grass,herb,non-wood,Trachypogon plumosus,seedlings,young,positive,,,"NO, the same provide in Martinez 2003, but more complicated since she considered seasons",NO,NO,,,,,,,,,,,,,
33,"Martinez ML, Perez-Maqueo O, Vasquez VM, 2004",33.11,"Veracruz, Mexico",,,,tropical,NA,1260,657,0.151,6.7,5661,parabolic mobile dunes,2,experimental,survival,survival,,,,shrub,shrub,shrub,wood,Chamaecrista chamaecristoides var. chamaecristoides,grass,herb,non-wood,Schizachyrium scoparium var. littoralis,seedlings,young,neutral (high mortality),,,"NO, the same provide in Martinez 2003, but more complicated since she considered seasons",NO,NO,,,,,,,,,,,,,
40,"Franks SJ, 2003",40.01,"Florida, USA",,26°08'N,81°47'W,tropical,subtropical,1350,1116,,5.9,5232,"foredune, mid-dune and back dune",4,experimental,emergence,emergence,no,somewhat ,"a comparação neste caso é entre áreas com <25 de cobertura vegetal e áreas com >75%. Resultado: o conteúdo de água ano solo é igual ou menor  (depednde da área de estudo); não há diferença de MO, e acumula''cão de areia é menor ou igual.",shrub,shrub,shrub,wood,Iva imbricata,several,several,several,Cassia chamaecrista (herb); Chrysobalanus icaco (shrub); Iva imbricata (herb or shrub); Scaevola plumieri (herb); Suriana maritima (shrub); Uniola paniculata (grass),seed,seed,positive,,"The objetive of this study was to test the nucleated succession hypothesis for coastal dunes, investigating if the seed number and seedling survivor is higher under plants than in open. He also investigated variations in habitat quality (possible mechanisms).",YES,NA,YES,33,14,447,466,,,,,,,,,
40,"Franks SJ, 2003",40.02,"Florida, USA",,,,tropical,subtropical,1350,1116,,5.9,5232,"foredune, mid-dune and back dune",4,experimental,emergence,emergence,,,,grass,grass,herb,non-wood,Uniola paniculata,several,several,several,Cassia chamaecrista (herb); Chrysobalanus icaco (shrub); Iva imbricata (herb or shrub); Scaevola plumieri (herb); Suriana maritima (shrub); Uniola paniculata (grass),seed,seed,positive,,,YES,NA,YES,24,14,456,466,,,,,,,,,
