 ,,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19
11:00-11:15,,"Thinking preferences activity (Amber, Matt) Technical setup",,,,,,,,,,,Publishing maps to the web,,,"LECTURE: Linear models and extensions (see linmodel.{rmd,pdf}) (Bolker)",,LECTURE: algorithmic approaches/CART (e.g. see CART_NCEAS.pdf) (Bolker),,Post-Assessment
11:15-11:30,,,,,,,,,,Data semantics and annotation (Schildhauer),Workflows and workflow systems (Jones),,,,,,,,,
11:30-11:55,,,,,,,,,,,,,,,,,,,,Discussion: open science for synthesis and course feedback
11:55-Noon,,,,,,,,,,,,,,,,,,,,
Noon-12:15,,Lunch,Lunch,Lunch,Lunch,Lunch,,,Lunch,Lunch,Lunch,Lunch,Lunch,,,Lunch,Lunch,Lunch,Lunch,Lunch and Thanks for all the fish!
12:15-12:30,,,,,,,,,,,,,,,,,,,,
12:30-12:45,,"Advanced unix tools (awk, sed, iconv, etc.) (Jones)",Activity: Git and GitHub Collaboration,DataONE R client  (Jones),Sociology of collaboration (Parker?),"Data summarization, visualization, QA/QC, cleaning",,,LAB: Systematic reviews and meta-analysis (con't),"Emulating SQL with core R functions (filt, join, agg), tables in R (sqldf, reshape, dplyr, tidyr data.table)",Workflow design activity (Group projects) (Jones),"Lecture/lab: Scientific libraries (e.g., numpy, spcipy, pandas, statsmodels) Mecum, Jones)","Demo: Open Geospatial data (where, how, e.g., US Census)",,,LAB: linear models and extensions (Bolker),"LECTURE: geospatial analysis (see spatial.{rmd,pdf}) (Bolker)","LAB: algorithmic approaches (see cart_ex.{rmd,pdf}) (Bolker)",Science in the open: Provenance and Reproducibility (Jones) (GCIS and the Living Paper),FIESTA!
12:45-1:00,,,,,,,,,,,,,,,,,,,,
1:00-1:15,,,,,,,,,,,,,,,,,,,,
1:15-1:30,,,Ticket tracking for data and group projects (Github) (Jones),Documenting data with the EML R package (Jones),,,,,,,,,,,,,,,,
1:30-1:45,,Regular expressions (Jones),,,"Social aspects of collaboration, high-performing groups, data policies (Budden and Jones)",,,,,,Testing and Continuous Integration for science,Mid-Assessment,,,,,,,,
1:45-2:00,,,,,,,,,,,,,,,,,,,,
2:00-2:15,,Break,Break,Break,Break,Break,,,Break,Break,Break,Break,Break,,,Break,Break,Break,Break,
2:15-2:30,,Pre-Assessment,Group Projects at NCEAS,Group Projects at NCEAS,Group Projects at NCEAS,Group Projects at NCEAS,,,Group Projects at NCEAS,Group Projects at NCEAS,Group Projects at NCEAS,Group Projects at NCEAS,Group Projects at NCEAS,,,Group Projects at NCEAS,Group Projects at NCEAS,Group Projects at NCEAS,Group Projects at NCEAS,
2:30-2:45,,,,,,,,,,,,,,,,,,,,
2:45-3:00,,,,,,,,,,,,,,,,,,,,
3:00-3:15,,Group Projects atNCEAS: Establish Group projects and project teams,,,,,,,,,,,,,,,,,,
3:15-3:30,,,,,,,,,,,,,,,,,,,,
3:30-3:45,,,,,,,,,,,,,,,,,,,,
3:45-4:00,,,,,,,,,,,,,,,,,,,,
4:00-4:15,,,,,,,,,,,,,,,,,,,,
4:15-4:30,,,,,,,,,,,,,,,,,,,,
4:30-4:45,,,,,,,,,,,,,,,,,,,,
4:45-5:00,,,,,,,,,,,,,,,,,,,,
5:00-5:15,,Adjourn at NCEAS,Adjourn at NCEAS,Adjourn at NCEAS,Adjourn at NCEAS,Adjourn at NCEAS,,,Adjourn at NCEAS,Adjourn at NCEAS,Adjourn at NCEAS,Adjourn at NCEAS,Adjourn at NCEAS,,,Adjourn at NCEAS,Adjourn at NCEAS,Adjourn at NCEAS,Adjourn at NCEAS,
